,pdbid,-logKd/Ki,resolution
9023,2q93,6.25,1.6
9024,2zdn,6.25,1.98
9025,3ans,6.25,1.98
9026,3q5h,6.25,2.16
9027,3rf4,6.25,1.8
9028,3th8,6.25,2.11
9029,3wf9,6.25,2.04
9030,3wqm,6.25,2.1
9031,4bcp,6.25,2.26
9032,4c35,6.25,2.19
9033,4ib5,6.25,2.2
9034,4inh,6.25,1.7
9035,4m3e,6.25,2.11
9036,4mcc,6.25,1.95
9037,4r3b,6.25,1.37
9038,4y29,6.25,1.98
9039,5id1,6.25,2.49
9040,5vqi,6.25,2.5
9041,6czi,6.25,2.3
9042,6o3x,6.25,1.99
9043,1oyn,6.26,2
9044,1wcq,6.26,2.1
9045,2hdx,6.26,2.35
9046,2l6j,6.26,NMR
9047,2ok1,6.26,2.4
9048,2ql7,6.26,2.4
9049,3bgz,6.26,2.4
9050,3oap,6.26,2.05
9051,3rhk,6.26,1.94
9052,3su4,6.26,2.25
9053,3ux0,6.26,1.75
9054,4au8,6.26,1.9
9055,4bfz,6.26,2.1
9056,4enx,6.26,2.8
9057,4li5,6.26,2.64
9058,4m3g,6.26,2.3
9059,4n7y,6.26,2.16
9060,4qzx,6.26,2.6
9061,4r4t,6.26,1.28
9062,4ua8,6.26,1.54
9063,4wiv,6.26,1.56
9064,5cxz,6.26,1.7
9065,5fpu,6.26,2.24
9066,5k6s,6.26,2.79
9067,5kbh,6.26,2.55
9068,5oku,6.26,2.07
9069,5swf,6.26,2.82
9070,6f1n,6.26,2.09
9071,6p3w,6.26,2.54
9072,1inq,6.27,2.2
9073,1p06,6.27,2.34
9074,1pbq,6.27,1.9
9075,2j94,6.27,2.1
9076,2mkr,6.27,NMR
9077,2nxl,6.27,2
9078,2wqb,6.27,2.95
9079,3bfu,6.27,1.95
9080,3pka,6.27,1.25
9081,3rbq,6.27,2
9082,3rx5,6.27,1.99
9083,3wix,6.27,1.9
9084,3zjv,6.27,2.31
9085,4ay5,6.27,3.15
9086,4ewr,6.27,1.5
9087,4f0c,6.27,1.9
9088,4gb9,6.27,2.44
9089,4l6q,6.27,2.79
9090,4q3r,6.27,2.17
9091,4qwk,6.27,2.8
9092,4qwx,6.27,2.9
9093,4r4i,6.27,1.4
9094,4uhg,6.27,1.7
9095,4wvs,6.27,2.09
9096,5arf,6.27,1.92
9097,5jiy,6.27,1.48
9098,5zys,6.27,1.78
9099,6aol,6.27,2.76
9100,6n83,6.27,2
9101,6ugr,6.27,1.31
9102,1afl,6.28,1.7
9103,1atl,6.28,1.8
9104,1g50,6.28,2.9
9105,1g6g,6.28,1.6
9106,1gui,6.28,1.9
9107,1ikv,6.28,3
9108,1mqg,6.28,2.15
9109,1ol2,6.28,2.6
9110,1w3l,6.28,1.04
9111,2aog,6.28,1.1
9112,2esm,6.28,3.2
9113,2gfd,6.28,2.3
9114,2hai,6.28,1.58
9115,2nmb,6.28,NMR
9116,2viv,6.28,1.72
9117,2wo8,6.28,2
9118,2wu7,6.28,2.25
9119,3ioi,6.28,1.45
9120,3oc0,6.28,2.7
9121,3opp,6.28,1.8
9122,3p7a,6.28,2.31
9123,3rk9,6.28,1.85
9124,3v0p,6.28,1.9
9125,3wnr,6.28,2.01
9126,3wnt,6.28,2.07
9127,4abu,6.28,1.86
9128,4bgk,6.28,2.18
9129,4djw,6.28,1.9
9130,4jfv,6.28,1.88
9131,4q99,6.28,1.5
9132,4qw7,6.28,2.7
9133,4rd6,6.28,1.94
9134,4zb6,6.28,1.8
9135,5bnr,6.28,1.89
9136,5dxb,6.28,2.08
9137,5i86,6.28,1.05
9138,5ia1,6.28,2.04
9139,5ix0,6.28,1.72
9140,5lz7,6.28,2.1
9141,5nz4,6.28,1.36
9142,5t1k,6.28,2.48
9143,5w6o,6.28,2.35
9144,6afj,6.28,1.48
9145,6bgu,6.28,1.68
9146,6d4o,6.28,2.9
9147,6e8m,6.28,1.61
9148,6hva,6.28,2.9
9149,1yyr,6.29,2.5
9150,2ael,6.29,2.5
9151,2g0g,6.29,2.54
9152,2xyt,6.29,2.05
9153,3f48,6.29,1.9
9154,3g3n,6.29,2.4
9155,3h8b,6.29,1.8
9156,3ipy,6.29,2.54
9157,3v2q,6.29,2.2
9158,3vhv,6.29,1.35
9159,3wth,6.29,2.54
9160,4cfw,6.29,2.45
9161,4d8z,6.29,2.2
9162,4fjz,6.29,3
9163,4h3a,6.29,1.98
9164,4hze,6.29,1.6
9165,4jda,6.29,2.65
9166,4jju,6.29,1.91
9167,4lj5,6.29,2.4
9168,4n7u,6.29,1.46
9169,4n84,6.29,2.5
9170,4qt0,6.29,3.2
9171,4r06,6.29,2.22
9172,4wj5,6.29,1.65
9173,4y2x,6.29,2.5
9174,5ap7,6.29,2.45
9175,5gut,6.29,2.1
9176,5kmf,6.29,3.2
9177,5kpl,6.29,2.6
9178,5t2t,6.29,1.97
9179,5vqy,6.29,2.35
9180,5vsc,6.29,1.4
9181,5za8,6.29,1.9
9182,6bjo,6.29,1.75
9183,6cbh,6.29,2
9184,6e4v,6.29,2
9185,6ekn,6.29,1.2
9186,6elo,6.29,1.8
9187,6inm,6.29,2
9188,6j81,6.29,1.8
9189,6o57,6.29,1.71
9190,6o5a,6.29,1.67
9191,6u5m,6.29,1.8
9192,1a2c,6.3,2.1
9193,1a5h,6.3,2.9
9194,1c7e,6.3,2.25
9195,1c9d,6.3,2.3
9196,1d4p,6.3,2.07
9197,1gqs,6.3,3
9198,1h24,6.3,2.5
9199,1hqh,6.3,2.8
9200,1lag,6.3,2.06
9201,1m5c,6.3,1.65
9202,1oxq,6.3,2.3
9203,1pwp,6.3,2.9
9204,1w25,6.3,2.7
9205,1w51,6.3,2.55
9206,1wdn,6.3,1.94
9207,1wm1,6.3,2.1
9208,1zh7,6.3,2.5
9209,2f3r,6.3,2.5
9210,2fda,6.3,2
9211,2i5j,6.3,3.15
9212,2jg8,6.3,2.05
9213,2nwn,6.3,2.15
9214,2oi2,6.3,2.5
9215,2or9,6.3,2.7
9216,2oyl,6.3,1.8
9217,2q89,6.3,2.3
9218,2r3f,6.3,1.5
9219,2v0n,6.3,2.71
9220,2vgo,6.3,1.7
9221,2vrj,6.3,1.9
9222,2w4i,6.3,1.87
9223,2w8f,6.3,2.7
9224,2y4l,6.3,2.8
9225,2zv2,6.3,2.4
9226,3ebl,6.3,1.9
9227,3g1m,6.3,1.7
9228,3k5v,6.3,1.74
9229,3ls4,6.3,2
9230,3me9,6.3,1.37
9231,3mea,6.3,1.26
9232,3meu,6.3,1.28
9233,3o23,6.3,2.1
9234,3qcj,6.3,2.26
9235,3ql9,6.3,0.93
9236,3s7b,6.3,2.42
9237,3t4v,6.3,1.73
9238,3t70,6.3,1.8
9239,3vzd,6.3,2.3
9240,4a9m,6.3,2.06
9241,4aaw,6.3,2.2
9242,4alg,6.3,1.6
9243,4bw3,6.3,1.5
9244,4dj7,6.3,2.81
9245,4e1k,6.3,2
9246,4eor,6.3,2.2
9247,4etz,6.3,2.05
9248,4euv,6.3,2
9249,4f63,6.3,2.55
9250,4fgy,6.3,2.84
9251,4i4e,6.3,1.55
9252,4kil,6.3,1.75
9253,4kio,6.3,2.18
9254,4oag,6.3,2
9255,4ob1,6.3,1.63
9256,4ob2,6.3,1.52
9257,4oq5,6.3,2.86
9258,4pow,6.3,1.55
9259,4q08,6.3,1.07
9260,4url,6.3,2.29
9261,4uyh,6.3,1.73
9262,4wf6,6.3,2.65
9263,4wq2,6.3,1.64
9264,4yfi,6.3,2.7
9265,4zfi,6.3,2
9266,5ajy,6.3,2.37
9267,5ar5,6.3,2.66
9268,5bjt,6.3,3.2
9269,5brn,6.3,2.3
9270,5d25,6.3,1.7
9271,5dhu,6.3,2.33
9272,5hff,6.3,1.75
9273,5hh5,6.3,1.8
9274,5hmy,6.3,2.1
9275,5htl,6.3,1.37
9276,5ih5,6.3,2.25
9277,5kqd,6.3,2.6
9278,5ml0,6.3,1.64
9279,5n3w,6.3,2.3
9280,5nar,6.3,1.55
9281,5nb6,6.3,1.75
9282,5w73,6.3,2.2
9283,5wqk,6.3,1.7
9284,6axb,6.3,1.8
9285,6ayd,6.3,3
9286,6ce2,6.3,2.15
9287,6f5m,6.3,2.7
9288,6gy1,6.3,2.1
9289,6hu3,6.3,1.66
9290,6npe,6.3,2.15
9291,6qgg,6.3,1.5
9292,6qhb,6.3,1.84
9293,1nja,6.31,2.5
9294,2bal,6.31,2.1
9295,2op3,6.31,1.6
9296,2p0x,6.31,NMR
9297,2pvu,6.31,1.79
9298,3hs9,6.31,2.15
9299,3k48,6.31,2.8
9300,3q44,6.31,1.8
9301,3u93,6.31,1.88
9302,3uew,6.31,2
9303,3ur9,6.31,1.65
9304,4bg1,6.31,1.89
9305,4cpy,6.31,1.8
9306,4d1j,6.31,1.8
9307,4der,6.31,1.9
9308,4e1e,6.31,2.65
9309,4nah,6.31,2.38
9310,4ovz,6.31,2.5
9311,4pvo,6.31,1.48
9312,4ufz,6.31,2.33
9313,4z6i,6.31,1.95
9314,5ey8,6.31,3.5
9315,5gmh,6.31,2.2
9316,5ix1,6.31,2.6
9317,5lss,6.31,1.79
9318,5lyh,6.31,2.17
9319,5wij,6.31,2.04
9320,1t69,6.32,2.91
9321,1w3j,6.32,2
9322,2c9d,6.32,2.8
9323,2uyi,6.32,2.1
9324,2wnc,6.32,2.2
9325,2zb1,6.32,2.5
9326,2zga,6.32,1.65
9327,3ckt,6.32,1.65
9328,3ebh,6.32,1.65
9329,3el7,6.32,2.8
9330,3m3r,6.32,2.2
9331,3qup,6.32,1.9
9332,3w9k,6.32,1.8
9333,4awq,6.32,1.6
9334,4mgc,6.32,2.15
9335,4qq5,6.32,2.2
9336,4qt2,6.32,1.44
9337,4ztq,6.32,2.8
9338,5ekm,6.32,1.33
9339,5k8n,6.32,3.23
9340,5meh,6.32,0.95
9341,5vqx,6.32,2.4
9342,6czu,6.32,1.47
9343,6eb2,6.32,2.49
9344,6oco,6.32,2.58
9345,6pvw,6.32,1.6
9346,6rot,6.32,1.34
9347,6upj,6.32,2.34
9348,1c29,6.33,2.3
9349,1c8v,6.33,2.2
9350,1ex8,6.33,1.85
9351,1xhm,6.33,2.7
9352,1yys,6.33,2.75
9353,2qbr,6.33,2.3
9354,2y1w,6.33,2.1
9355,3dxk,6.33,2.7
9356,3hv3,6.33,2
9357,3hxi,6.33,1.8
9358,3nsh,6.33,2.2
9359,3u8d,6.33,1.8
9360,4i0z,6.33,1.8
9361,4nbl,6.33,1.76
9362,4nk3,6.33,1.9
9363,4tn4,6.33,2.2
9364,4v0i,6.33,2.54
9365,4zg6,6.33,1.8
9366,4zvi,6.33,2.2
9367,5ab9,6.33,1.36
9368,5fue,6.33,2.2
9369,5l3f,6.33,3.5
9370,5mrb,6.33,2.2
9371,5n49,6.33,1.94
9372,5n8w,6.33,1.1
9373,5nk7,6.33,1.89
9374,5nu5,6.33,1.6
9375,5u48,6.33,1.5
9376,5u4d,6.33,1.55
9377,5u4f,6.33,1.5
9378,5x72,6.33,1.95
9379,6aa4,6.33,1.9
9380,6bgx,6.33,1.88
9381,6fzj,6.33,2.01
9382,6qw7,6.33,1.78
9383,6r7r,6.33,2.8
9384,1bdq,6.34,2.5
9385,1i00,6.34,2.5
9386,1w9v,6.34,2
9387,1xq0,6.34,1.76
9388,2byi,6.34,1.6
9389,3cj5,6.34,1.92
9390,3iut,6.34,1.2
9391,3zk6,6.34,2.48
9392,4hev,6.34,2.5
9393,4j3u,6.34,1.7
9394,4jfw,6.34,2.1
9395,4lkm,6.34,2
9396,4muf,6.34,2.5
9397,4pnr,6.34,1.71
9398,4qmm,6.34,1.85
9399,4qrc,6.34,1.9
9400,4z0k,6.34,1.41
9401,5bms,6.34,2.9
9402,5elz,6.34,1.8
9403,5ewz,6.34,2.34
9404,5k8v,6.34,2.25
9405,5kbe,6.34,2.5
9406,5m04,6.34,1.85
9407,5up0,6.34,2.04
9408,5y0z,6.34,2
9409,5yr4,6.34,1.82
9410,6bin,6.34,2.5
9411,6d5j,6.34,1.75
9412,6da4,6.34,2.9
9413,6ffh,6.34,2.65
9414,1cbx,6.35,2
9415,1gjb,6.35,1.9
9416,1gjc,6.35,1.73
9417,1mik,6.35,1.76
9418,1o48,6.35,1.55
9419,1qwf,6.35,NMR
9420,1yrs,6.35,2.5
9421,2f2c,6.35,2.8
9422,2j7f,6.35,2.28
9423,2p09,6.35,1.65
9424,2qpj,6.35,2.05
9425,3ckp,6.35,2.3
9426,3ctt,6.35,2.1
9427,3ed0,6.35,2.3
9428,3eid,6.35,3.15
9429,3fr5,6.35,2.2
9430,3fvh,6.35,1.58
9431,3hik,6.35,1.77
9432,3rt8,6.35,2.43
9433,4azf,6.35,2.55
9434,4eo4,6.35,2.87
9435,4hl5,6.35,2.2
9436,4i0f,6.35,1.8
9437,4i67,6.35,2.33
9438,4lq3,6.35,2.6
9439,4mk5,6.35,1.9
9440,4qvm,6.35,2.8
9441,4qw5,6.35,3
9442,4zpe,6.35,1.7
9443,5a2k,6.35,1.7
9444,5ctc,6.35,2.7
9445,5duc,6.35,2.7
9446,5ivv,6.35,1.85
9447,5k5e,6.35,2.8
9448,5lz5,6.35,2.05
9449,5ove,6.35,1.85
9450,5tuq,6.35,2.71
9451,5tuy,6.35,2.6
9452,5u4e,6.35,1.45
9453,5vcz,6.35,1.5
9454,6cvf,6.35,2.3
9455,6j10,6.35,2.3
9456,1c5q,6.36,1.43
9457,1ela,6.36,2
9458,1fta,6.36,2.3
9459,1o2o,6.36,1.63
9460,1o49,6.36,1.7
9461,2iws,6.36,2.7
9462,2owb,6.36,2.1
9463,2y76,6.36,2.5
9464,3g90,6.36,2.4
9465,3oku,6.36,1.45
9466,3t6b,6.36,2.4
9467,3t6j,6.36,2.98
9468,3uwo,6.36,1.7
9469,3v2p,6.36,1.87
9470,3wsy,6.36,3.11
9471,4anv,6.36,2.13
9472,4iti,6.36,2.86
9473,4j0y,6.36,1.77
9474,4j4v,6.36,2.3
9475,4mg7,6.36,2.15
9476,4mk7,6.36,2.8
9477,4o36,6.36,1.22
9478,4psq,6.36,2.4
9479,5ant,6.36,2
9480,5d3x,6.36,1.69
9481,5dp8,6.36,2.4
9482,5hm0,6.36,1.4
9483,5in9,6.36,2.6
9484,5u4a,6.36,1.9
9485,5ucj,6.36,1.69
9486,5ue4,6.36,1.8
9487,5wa6,6.36,2.25
9488,5wep,6.36,3.5
9489,5xo7,6.36,1.88
9490,6abp,6.36,1.67
9491,6ilq,6.36,2.41
9492,6q37,6.36,2.21
9493,6rvk,6.36,1.58
9494,1g3f,6.37,NMR
9495,1gx8,6.37,2.4
9496,1hbv,6.37,2.3
9497,1hms,6.37,1.4
9498,2q9n,6.37,2.2
9499,2qpq,6.37,1.92
9500,2w9h,6.37,1.48
9501,2ym5,6.37,2.03
9502,2zdk,6.37,1.67
9503,3i7g,6.37,1.95
9504,3o88,6.37,1.64
9505,3qlm,6.37,2.5
9506,3ui2,6.37,3.18
9507,4e5h,6.37,2.16
9508,4gw1,6.37,2.24
9509,4ks3,6.37,2.6
9510,4mm4,6.37,2.89
9511,4mpe,6.37,1.95
9512,4r91,6.37,1.58
9513,5d0r,6.37,2.24
9514,5fdg,6.37,2.1
9515,5g53,6.37,3.4
9516,5klz,6.37,1.5
9517,5qbv,6.37,1.8
9518,5tln,6.37,2.3
9519,5u7l,6.37,2.38
9520,5uqv,6.37,2.84
9521,5vb6,6.37,2.04
9522,5vll,6.37,2.37
9523,5y53,6.37,1.6
9524,6eab,6.37,1.85
9525,6u8b,6.37,1.26
9526,1qja,6.38,2
9527,1qjb,6.38,2
9528,1ukh,6.38,2.35
9529,1xm6,6.38,1.92
9530,1xnx,6.38,2.9
9531,2er0,6.38,3
9532,2hkf,6.38,2.01
9533,2q2c,6.38,2.35
9534,2wcg,6.38,2.3
9535,2ybu,6.38,2.25
9536,3hau,6.38,1.3
9537,3l3a,6.38,2.36
9538,3oqk,6.38,2.9
9539,4f3h,6.38,2.5
9540,4nzn,6.38,1.75
9541,4tki,6.38,2.15
9542,4u6x,6.38,1.68
9543,4unn,6.38,2.5
9544,4yyt,6.38,1.07
9545,5f01,6.38,1.52
9546,5nya,6.38,1.2
9547,5v7a,6.38,2.35
9548,5xig,6.38,2.41
9549,6c8c,6.38,1.5
9550,6equ,6.38,1.65
9551,6m8y,6.38,1.1
9552,6q38,6.38,1.74
9553,1lol,6.39,1.9
9554,1o79,6.39,2.8
9555,1ocn,6.39,1.31
9556,1xog,6.39,2.8
9557,3ess,6.39,1.19
9558,3v7d,6.39,2.31
9559,3vyd,6.39,2.81
9560,4i12,6.39,1.78
9561,4q4p,6.39,1.54
9562,4yoj,6.39,1.9
9563,5akw,6.39,2.07
9564,5eom,6.39,2.55
9565,5khk,6.39,2.07
9566,5nze,6.39,1.69
9567,5vqz,6.39,2.23
9568,5wyr,6.39,2.45
9569,5xqx,6.39,2.3
9570,5ylt,6.39,1.69
9571,6bgz,6.39,1.69
9572,6bkx,6.39,1.65
9573,6bqd,6.39,2.14
9574,6csq,6.39,2.03
9575,6gf9,6.39,2.1
9576,6hoq,6.39,1.55
9577,6jki,6.39,2.59
9578,6nk0,6.39,1.53
9579,6r4s,6.39,2.75
9580,10gs,6.4,2.2
9581,1a07,6.4,2.2
9582,1a1b,6.4,2.2
9583,1a1c,6.4,2.4
9584,1c3r,6.4,2
9585,1fq4,6.4,2.7
9586,1g7v,6.4,2.4
9587,1i7c,6.4,2.4
9588,1i7z,6.4,2.3
9589,1igb,6.4,2.3
9590,1jrs,6.4,1.8
9591,1nzv,6.4,2.1
9592,1rth,6.4,2.2
9593,1t2v,6.4,3.3
9594,1upk,6.4,1.85
9595,1usk,6.4,2
9596,1yvm,6.4,1.6
9597,1z2b,6.4,4.1
9598,2a4l,6.4,2.4
9599,2ai7,6.4,2
9600,2c1b,6.4,2
9601,2cmo,6.4,2.65
9602,2g9q,6.4,2.5
9603,2jbk,6.4,2.99
9604,2n9x,6.4,NMR
9605,2nno,6.4,1.01
9606,2o2u,6.4,2.45
9607,2qqs,6.4,2.82
9608,2waj,6.4,2.4
9609,2y8c,6.4,2.1
9610,2zaz,6.4,1.8
9611,2zdl,6.4,1.8
9612,3arq,6.4,1.5
9613,3dz4,6.4,1.84
9614,3jq9,6.4,2.3
9615,3k1j,6.4,2
9616,3kmc,6.4,1.8
9617,3ll8,6.4,2
9618,3lw0,6.4,1.79
9619,3o3j,6.4,3
9620,3pn3,6.4,1.3
9621,3rsb,6.4,2.8
9622,3s72,6.4,1.6
9623,3sfi,6.4,2.31
9624,3szm,6.4,2.63
9625,3tf6,6.4,2.35
9626,3zll,6.4,2
9627,3zs1,6.4,2.6
9628,4afj,6.4,1.98
9629,4c7t,6.4,2.05
9630,4cff,6.4,3.92
9631,4cga,6.4,1.74
9632,4dpf,6.4,1.8
9633,4.00E+26,6.4,2.55
9634,4eu0,6.4,1.7
9635,4ff8,6.4,2.4
9636,4hcv,6.4,1.48
9637,4je7,6.4,2.1
9638,4jj7,6.4,1.18
9639,4m3b,6.4,2
9640,4mbc,6.4,1.75
9641,4mss,6.4,1.8
9642,4o3u,6.4,3.04
9643,4p00,6.4,3.2
9644,4p02,6.4,2.65
9645,4pax,6.4,2.8
9646,4pmp,6.4,1.8
9647,4qnu,6.4,2.6
9648,4qtc,6.4,1.4
9649,4r1y,6.4,2
9650,4rse,6.4,2.39
9651,4u79,6.4,2.23
9652,4whl,6.4,2.71
9653,4x1r,6.4,2.1
9654,4xbd,6.4,1.45
9655,4xy8,6.4,1.7
9656,4yv9,6.4,1.95
9657,4zxy,6.4,2.06
9658,5a4e,6.4,2.68
9659,5c5h,6.4,2.4
9660,5dgm,6.4,2.86
9661,5e0l,6.4,1.31
9662,5f1u,6.4,2.35
9663,5g61,6.4,2.4
9664,5hh6,6.4,1.8
9665,5hz8,6.4,1.12
9666,5iuh,6.4,2.1
9667,5l8y,6.4,2.14
9668,5l9h,6.4,2.25
9669,5nsx,6.4,1.8
9670,5ovg,6.4,2.3
9671,5tex,6.4,2.15
9672,5uk8,6.4,2.5
9673,5ura,6.4,1.85
9674,5v24,6.4,2.5
9675,5vqv,6.4,2.58
9676,5wa7,6.4,2.2
9677,5wdc,6.4,2.1
9678,6bny,6.4,3.34
9679,6coj,6.4,1.4
9680,6dzv,6.4,4.2
9681,6f92,6.4,1.9
9682,6fel,6.4,2.84
9683,6g5u,6.4,1.7
9684,6gvz,6.4,1.54
9685,6idb,6.4,2.5
9686,6npu,6.4,2.33
9687,6o9b,6.4,2.2
9688,6oa3,6.4,1.9
9689,6qw8,6.4,1.1
9690,6rj3,6.4,1.42
9691,1i80,6.41,2
9692,1pye,6.41,2
9693,1syh,6.41,1.8
9694,1xor,6.41,1.54
9695,2cgf,6.41,2.2
9696,2oj9,6.41,2
9697,2qki,6.41,2.4
9698,2qnp,6.41,1.41
9699,2wmw,6.41,2.43
9700,2xxn,6.41,1.6
9701,2xxw,6.41,2.3
9702,2xxx,6.41,2.1
9703,2zdm,6.41,1.93
9704,3k5x,6.41,1.4
9705,3mxy,6.41,2.3
9706,3r17,6.41,1.7
9707,4b5b,6.41,2.06
9708,4j0r,6.41,1.72
9709,4jq7,6.41,2.73
9710,4o1b,6.41,1.65
9711,4o2f,6.41,1.9
9712,4zuo,6.41,1.33
9713,5c20,6.41,2.75
9714,5cvd,6.41,1.3
9715,5dxe,6.41,1.5
9716,5ihh,6.41,1.35
9717,5jxn,6.41,1.38
9718,5u7j,6.41,1.9
9719,5v79,6.41,2.25
9720,5wbz,6.41,2.4
9721,5wre,6.41,1.95
9722,6ar2,6.41,1.55
9723,6hk6,6.41,2.35
9724,6i65,6.41,1.5
9725,6i8l,6.41,1.58
9726,6pfj,6.41,2.08
9727,6py0,6.41,2.2
9728,1o5a,6.42,1.68
9729,1r17,6.42,1.86
9730,1thl,6.42,1.7
9731,1tl1,6.42,2.9
9732,1w0y,6.42,2.5
9733,2fw3,6.42,2.5
9734,2j78,6.42,1.65
9735,2jle,6.42,2.9
9736,2y36,6.42,2.7
9737,3d2e,6.42,2.35
9738,3is9,6.42,2.55
9739,3rkb,6.42,2
9740,4i5p,6.42,1.74
9741,4itj,6.42,1.8
9742,4j0s,6.42,1.84
9743,4m5o,6.42,2
9744,4ufh,6.42,2.16
9745,4wnk,6.42,2.42
9746,4x1n,6.42,1.8
9747,4zyc,6.42,1.95
9748,5k4x,6.42,1.37
9749,5mm9,6.42,1.55
9750,5ugg,6.42,1.2
9751,5x62,6.42,2.2
9752,6eiq,6.42,2.3
9753,6ft3,6.42,1.28
9754,6fzp,6.42,2.3
9755,6hvi,6.42,1.96
9756,6j1l,6.42,2.3
9757,6s9x,6.42,2.6
9758,1fh9,6.43,1.72
9759,1n7j,6.43,2.7
9760,1nax,6.43,2.7
9761,1t46,6.43,1.6
9762,2b07,6.43,2.1
9763,2bzz,6.43,0.98
9764,2cia,6.43,1.45
9765,2fqo,6.43,1.87
9766,2ivu,6.43,2.5
9767,2q94,6.43,1.63
9768,2xch,6.43,2
9769,3ask,6.43,2.9
9770,3q4c,6.43,3.2
9771,3v3l,6.43,1.65
9772,4cik,6.43,1.78
9773,4d3h,6.43,2
9774,4deb,6.43,3.05
9775,4ge1,6.43,2.15
9776,4m8t,6.43,3
9777,4nh9,6.43,2.77
9778,4q4r,6.43,1.45
9779,4wsk,6.43,1.92
9780,4z2j,6.43,2.6
9781,5w8j,6.43,1.55
9782,5yy4,6.43,1.59
9783,6c5h,6.43,1.99
9784,6eeo,6.43,1.72
9785,6eo0,6.43,2.4
9786,6eqs,6.43,1.32
9787,6g9u,6.43,1.75
9788,6m8q,6.43,2.49
9789,6mhc,6.43,2
9790,6n5c,6.43,1.95
9791,6rtw,6.43,1.9
9792,6uii,6.43,2.65
9793,1j4q,6.44,NMR
9794,1jqe,6.44,1.91
9795,1qti,6.44,2.5
9796,1svh,6.44,2.3
9797,2jh5,6.44,2.5
9798,2m0u,6.44,NMR
9799,2pvm,6.44,2
9800,2vqj,6.44,2.1
9801,2xnp,6.44,1.98
9802,2y59,6.44,2.5
9803,3d7m,6.44,2.9
9804,3ffu,6.44,2.8
9805,3pfp,6.44,2.35
9806,3s9y,6.44,1.7
9807,3wyj,6.44,2.1
9808,3zmq,6.44,3.3
9809,4da5,6.44,2.4
9810,4ea1,6.44,2.46
9811,4ea2,6.44,2.05
9812,4fmu,6.44,2.1
9813,4jfk,6.44,1.15
9814,4jfx,6.44,1.95
9815,4jg6,6.44,2.6
9816,4l2k,6.44,2.1
9817,4os6,6.44,1.75
9818,4oya,6.44,2.03
9819,4pde,6.44,2.8
9820,4q3u,6.44,2.5
9821,4qaa,6.44,2.7
9822,4tjy,6.44,1.9
9823,4wz4,6.44,1.05
9824,5al2,6.44,1.9
9825,5fdo,6.44,2.8
9826,5ivy,6.44,1.45
9827,5ny1,6.44,1.1
9828,5vfd,6.44,1.93
9829,5w44,6.44,2.1
9830,5w84,6.44,2.9
9831,5wbl,6.44,3.35
9832,5wef,6.44,2
9833,6dqa,6.44,1.89
9834,6e5s,6.44,2.06
9835,6ekd,6.44,2.1
9836,6hqy,6.44,2.5
9837,6qr3,6.44,1.61
9838,3d32,6.45,1.3
9839,3qw5,6.45,1.6
9840,4kwo,6.45,1.32
9841,5fut,6.45,1.6
9842,5jss,6.45,1.19
9843,5m7m,6.45,2.7
9844,5uwm,6.45,1.62
9845,5ye9,6.45,1.88
9846,6n5h,6.45,1.72
9847,6oht,6.45,3.2
9848,1gt3,6.46,1.8
9849,1m2r,6.46,1.7
9850,1q4w,6.46,1.93
9851,1r5y,6.46,1.2
9852,1ro6,6.46,2
9853,1w2k,6.46,3
9854,1wbn,6.46,2.4
9855,2c6m,6.46,1.9
9856,2ohv,6.46,2.5
9857,2vwu,6.46,2
9858,2xd9,6.46,1.95
9859,2xdx,6.46,2.42
9860,2y4m,6.46,2.7
9861,3anr,6.46,2.6
9862,3i6m,6.46,2.26
9863,3kdu,6.46,2.07
9864,3o8p,6.46,2.1
9865,3pd8,6.46,2.48
9866,3tnh,6.46,3.2
9867,3zy2,6.46,1.54
9868,4dgn,6.46,1.75
9869,4hyb,6.46,1.7
9870,4m0y,6.46,1.7
9871,4n07,6.46,1.87
9872,4w4y,6.46,2.3
9873,4x2i,6.46,1.2
9874,4ymh,6.46,1.88
9875,5ap4,6.46,2.85
9876,5dbm,6.46,1.86
9877,5efj,6.46,1.73
9878,5fl0,6.46,1.95
9879,5hka,6.46,2.05
9880,5iwg,6.46,1.66
9881,5ndd,6.46,2.8
9882,5o91,6.46,3.2
9883,5uc4,6.46,2.05
9884,5vb5,6.46,2.23
9885,5w4e,6.46,2.18
9886,6epy,6.46,2.04
9887,6qi7,6.46,2.5
9888,7abp,6.46,1.67
9889,1aqj,6.47,2.6
9890,1bxl,6.47,NMR
9891,1j01,6.47,2
9892,1o9k,6.47,2.6
9893,1wbt,6.47,2
9894,2o64,6.47,2.44
9895,2xu4,6.47,1.12
9896,3cm2,6.47,2.5
9897,3gcq,6.47,2
9898,3s78,6.47,1.98
9899,3tfp,6.47,2
9900,3zh8,6.47,2.74
9901,4aft,6.47,3.2
9902,4fea,6.47,3.79
9903,4ju4,6.47,2.4
9904,4jzb,6.47,1.9
9905,4mhy,6.47,1.38
9906,4mq6,6.47,1.7
9907,4psx,6.47,2.51
9908,4rd3,6.47,1.69
9909,4uv8,6.47,2.8
9910,4zhl,6.47,2.06
9911,4zji,6.47,1.99
9912,5ai1,6.47,2.1
9913,5c11,6.47,2.8
9914,5cgv,6.47,2.17
9915,5he5,6.47,1.55
9916,5j8u,6.47,1.75
9917,5mes,6.47,2.24
9918,5nsp,6.47,2.3
9919,5y21,6.47,1.77
9920,6b4l,6.47,2.25
